"initial_block","block_transitioned_to","agegrp","sex","oud","distribution","param1","param2"
"No_Treatment","Buprenorphine","10_14","Male","Active","norm",0.00366972064476545,0
"No_Treatment","Buprenorphine","10_14","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","10_14","Female","Active","norm",0.00638975454742441,0
"No_Treatment","Buprenorphine","10_14","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","15_19","Male","Active","norm",0.00233009603190637,0
"No_Treatment","Buprenorphine","15_19","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","15_19","Female","Active","norm",0.00270197079381107,0
"No_Treatment","Buprenorphine","15_19","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","20_24","Male","Active","norm",0.00513826885326718,0
"No_Treatment","Buprenorphine","20_24","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","20_24","Female","Active","norm",0.00570666128055841,0
"No_Treatment","Buprenorphine","20_24","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","25_29","Male","Active","norm",0.00616691287776561,0
"No_Treatment","Buprenorphine","25_29","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","25_29","Female","Active","norm",0.00649761580978359,0
"No_Treatment","Buprenorphine","25_29","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","30_34","Male","Active","norm",0.00682908302920793,0
"No_Treatment","Buprenorphine","30_34","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","30_34","Female","Active","norm",0.00708016117542309,0
"No_Treatment","Buprenorphine","30_34","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","35_39","Male","Active","norm",0.0068339086825091,0
"No_Treatment","Buprenorphine","35_39","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","35_39","Female","Active","norm",0.00656037231902162,0
"No_Treatment","Buprenorphine","35_39","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","40_44","Male","Active","norm",0.00609011510207114,0
"No_Treatment","Buprenorphine","40_44","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","40_44","Female","Active","norm",0.00574886798149998,0
"No_Treatment","Buprenorphine","40_44","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","45_49","Male","Active","norm",0.0052246880421577,0
"No_Treatment","Buprenorphine","45_49","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","45_49","Female","Active","norm",0.00506268416120192,0
"No_Treatment","Buprenorphine","45_49","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","50_54","Male","Active","norm",0.00509069238398785,0
"No_Treatment","Buprenorphine","50_54","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","50_54","Female","Active","norm",0.0047583035405443,0
"No_Treatment","Buprenorphine","50_54","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","55_59","Male","Active","norm",0.0047545129859814,0
"No_Treatment","Buprenorphine","55_59","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","55_59","Female","Active","norm",0.00444553477148746,0
"No_Treatment","Buprenorphine","55_59","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","60_64","Male","Active","norm",0.00439237945260373,0
"No_Treatment","Buprenorphine","60_64","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","60_64","Female","Active","norm",0.00397978962410861,0
"No_Treatment","Buprenorphine","60_64","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","65_69","Male","Active","norm",0.00369685345285065,0
"No_Treatment","Buprenorphine","65_69","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","65_69","Female","Active","norm",0.00381367011699085,0
"No_Treatment","Buprenorphine","65_69","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","70_74","Male","Active","norm",0.00313315670180681,0
"No_Treatment","Buprenorphine","70_74","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","70_74","Female","Active","norm",0.00445433560303632,0
"No_Treatment","Buprenorphine","70_74","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","75_79","Male","Active","norm",0.00389863052988249,0
"No_Treatment","Buprenorphine","75_79","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","75_79","Female","Active","norm",0.00533332065759207,0
"No_Treatment","Buprenorphine","75_79","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","80_84","Male","Active","norm",0.00615382667355879,0
"No_Treatment","Buprenorphine","80_84","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","80_84","Female","Active","norm",0.00648926982055997,0
"No_Treatment","Buprenorphine","80_84","Female","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","85_99","Male","Active","norm",0.00692038750968393,0
"No_Treatment","Buprenorphine","85_99","Male","Nonactive","norm",0,0
"No_Treatment","Buprenorphine","85_99","Female","Active","norm",0.00566570718059456,0
"No_Treatment","Buprenorphine","85_99","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","10_14","Male","Active","norm",0.00366972064476545,0
"No_Treatment","Naltrexone","10_14","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","10_14","Female","Active","norm",0.00638975454742441,0
"No_Treatment","Naltrexone","10_14","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","15_19","Male","Active","norm",0.00155400124102589,0
"No_Treatment","Naltrexone","15_19","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","15_19","Female","Active","norm",0.00162205966028472,0
"No_Treatment","Naltrexone","15_19","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","20_24","Male","Active","norm",0.00115085241235224,0
"No_Treatment","Naltrexone","20_24","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","20_24","Female","Active","norm",0.00104866761918199,0
"No_Treatment","Naltrexone","20_24","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","25_29","Male","Active","norm",0.000682360942466986,0
"No_Treatment","Naltrexone","25_29","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","25_29","Female","Active","norm",0.000671817240427197,0
"No_Treatment","Naltrexone","25_29","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","30_34","Male","Active","norm",0.000559231973491059,0
"No_Treatment","Naltrexone","30_34","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","30_34","Female","Active","norm",0.000617665205804641,0
"No_Treatment","Naltrexone","30_34","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","35_39","Male","Active","norm",0.000652869337643525,0
"No_Treatment","Naltrexone","35_39","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","35_39","Female","Active","norm",0.000807987489931383,0
"No_Treatment","Naltrexone","35_39","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","40_44","Male","Active","norm",0.000610687003915866,0
"No_Treatment","Naltrexone","40_44","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","40_44","Female","Active","norm",0.00049055677210752,0
"No_Treatment","Naltrexone","40_44","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","45_49","Male","Active","norm",0.000531289122636669,0
"No_Treatment","Naltrexone","45_49","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","45_49","Female","Active","norm",0.00047203208941593,0
"No_Treatment","Naltrexone","45_49","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","50_54","Male","Active","norm",0.000485947993998481,0
"No_Treatment","Naltrexone","50_54","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","50_54","Female","Active","norm",0.000465224462414371,0
"No_Treatment","Naltrexone","50_54","Female","Nonactive","norm",0,0
