"agegrp","sex","death_prob"
"10_14","Male",3.22625844595414e-06
"10_14","Female",2.3250579153089e-06
"15_19","Male",1.2191975906517e-05
"15_19","Female",5.31961710792395e-06
"20_24","Male",2.19599929414116e-05
"20_24","Female",7.84938596809504e-06
"25_29","Male",2.4281811118132e-05
"25_29","Female",1.00011805863609e-05
"30_34","Male",2.77105484506324e-05
"30_34","Female",1.40792106897436e-05
"35_39","Male",3.36808436534053e-05
"35_39","Female",1.90128971445658e-05
"40_44","Male",4.50181210551737e-05
"40_44","Female",2.82510629345811e-05
"45_49","Male",6.82716758819701e-05
"45_49","Female",4.40690454863724e-05
"50_54","Male",0.000113101309719088
"50_54","Female",7.06047417944333e-05
"55_59","Male",0.000173491956464211
"55_59","Female",0.00010500176524042
"60_64","Male",0.000253182386493189
"60_64","Female",0.000149512510346561
"65_69","Male",0.00035032825889969
"65_69","Female",0.00022344812228281
"70_74","Male",0.000535512270662508
"70_74","Female",0.000363913299305629
"75_79","Male",0.000846979946701687
"75_79","Female",0.00060165128993972
"80_84","Male",0.00142729360016669
"80_84","Female",0.00105578936047201
"85_89","Male",0.00290742192209026
"85_89","Female",0.00239358397853751
"90_94","Male",0.00290742192209026
"90_94","Female",0.00239358397853751
"95_99","Male",0.00290742192209026
"95_99","Female",0.00239358397853751
