block,agegrp,sex,oud,all_types_overdose_cycle6,all_types_overdose_cycle9,all_types_overdose_cycle12
no_trt,10_14,m,active_noninj,0,0,0
no_trt,10_14,f,active_noninj,0,0,0
no_trt,15_19,m,active_noninj,0,0,0
no_trt,15_19,f,active_noninj,0,0,0
detox,10_14,m,active_noninj,0,0,0
detox,10_14,f,active_noninj,0,0,0
detox,15_19,m,active_noninj,0,0,0
detox,15_19,f,active_noninj,0,0,0
ntx,10_14,m,active_noninj,0,0,0
ntx,10_14,f,active_noninj,0,0,0
ntx,15_19,m,active_noninj,0,0,0
ntx,15_19,f,active_noninj,0,0,0
post_detox,10_14,m,active_noninj,0,0,0
post_detox,10_14,f,active_noninj,0,0,0
post_detox,15_19,m,active_noninj,0,0,0
post_detox,15_19,f,active_noninj,0,0,0
post_ntx,10_14,m,active_noninj,0,0,0
post_ntx,10_14,f,active_noninj,0,0,0
post_ntx,15_19,m,active_noninj,0,0,0
post_ntx,15_19,f,active_noninj,0,0,0
