block,agegrp,sex,oud,SMR
no_trt,10_14,m,active_noninj,1
no_trt,10_14,m,active_inj,1.1
no_trt,10_14,m,nonactive_noninj,1.2
no_trt,10_14,m,nonactive_inj,1.3
no_trt,10_14,f,active_noninj,1.4
no_trt,10_14,f,active_inj,1.5
no_trt,10_14,f,nonactive_noninj,1.6
no_trt,10_14,f,nonactive_inj,1.7
no_trt,15_19,m,active_noninj,1.8
no_trt,15_19,m,active_inj,1.9
no_trt,15_19,m,nonactive_noninj,2
no_trt,15_19,m,nonactive_inj,2.1
no_trt,15_19,f,active_noninj,2.2
no_trt,15_19,f,active_inj,2.3
no_trt,15_19,f,nonactive_noninj,2.4
no_trt,15_19,f,nonactive_inj,2.5
no_trt,20_24,m,active_noninj,2.6
no_trt,20_24,m,active_inj,2.7
no_trt,20_24,m,nonactive_noninj,2.8
no_trt,20_24,m,nonactive_inj,2.9
no_trt,20_24,f,active_noninj,3
no_trt,20_24,f,active_inj,3.1
no_trt,20_24,f,nonactive_noninj,3.2
no_trt,20_24,f,nonactive_inj,3.3
no_trt,25_29,m,active_noninj,3.4
no_trt,25_29,m,active_inj,3.5
no_trt,25_29,m,nonactive_noninj,3.6
no_trt,25_29,m,nonactive_inj,3.7
no_trt,25_29,f,active_noninj,3.8
no_trt,25_29,f,active_inj,3.9
no_trt,25_29,f,nonactive_noninj,4
no_trt,25_29,f,nonactive_inj,4.1
detox,10_14,m,active_noninj,4.2
detox,10_14,m,active_inj,4.3
detox,10_14,m,nonactive_noninj,4.4
detox,10_14,m,nonactive_inj,4.5
detox,10_14,f,active_noninj,4.6
detox,10_14,f,active_inj,4.7
detox,10_14,f,nonactive_noninj,4.8
detox,10_14,f,nonactive_inj,4.9
detox,15_19,m,active_noninj,5
detox,15_19,m,active_inj,5.1
detox,15_19,m,nonactive_noninj,5.2
detox,15_19,m,nonactive_inj,5.3
detox,15_19,f,active_noninj,5.4
detox,15_19,f,active_inj,5.5
detox,15_19,f,nonactive_noninj,5.6
detox,15_19,f,nonactive_inj,5.7
detox,20_24,m,active_noninj,5.8
detox,20_24,m,active_inj,5.9
detox,20_24,m,nonactive_noninj,6
detox,20_24,m,nonactive_inj,6.1
detox,20_24,f,active_noninj,6.2
detox,20_24,f,active_inj,6.3
detox,20_24,f,nonactive_noninj,6.4
detox,20_24,f,nonactive_inj,6.5
detox,25_29,m,active_noninj,6.6
detox,25_29,m,active_inj,6.7
detox,25_29,m,nonactive_noninj,6.8
detox,25_29,m,nonactive_inj,6.9
detox,25_29,f,active_noninj,7
detox,25_29,f,active_inj,7.1
detox,25_29,f,nonactive_noninj,7.2
detox,25_29,f,nonactive_inj,7.3
res,10_14,m,active_noninj,7.4
res,10_14,m,active_inj,7.5
res,10_14,m,nonactive_noninj,7.6
res,10_14,m,nonactive_inj,7.7
res,10_14,f,active_noninj,7.8
res,10_14,f,active_inj,7.9
res,10_14,f,nonactive_noninj,8
res,10_14,f,nonactive_inj,8.1
res,15_19,m,active_noninj,8.2
res,15_19,m,active_inj,8.3
res,15_19,m,nonactive_noninj,8.4
res,15_19,m,nonactive_inj,8.5
res,15_19,f,active_noninj,8.6
res,15_19,f,active_inj,8.7
res,15_19,f,nonactive_noninj,8.8
res,15_19,f,nonactive_inj,8.9
res,20_24,m,active_noninj,9
res,20_24,m,active_inj,9.1
res,20_24,m,nonactive_noninj,9.2
res,20_24,m,nonactive_inj,9.3
res,20_24,f,active_noninj,9.4
res,20_24,f,active_inj,9.5
res,20_24,f,nonactive_noninj,9.6
res,20_24,f,nonactive_inj,9.7
res,25_29,m,active_noninj,9.8
res,25_29,m,active_inj,9.9
res,25_29,m,nonactive_noninj,10
res,25_29,m,nonactive_inj,10.1
res,25_29,f,active_noninj,10.2
res,25_29,f,active_inj,10.3
res,25_29,f,nonactive_noninj,10.4
res,25_29,f,nonactive_inj,10.5
post-detox,10_14,m,active_noninj,10.6
post-detox,10_14,m,active_inj,10.7
post-detox,10_14,m,nonactive_noninj,10.8
post-detox,10_14,m,nonactive_inj,10.9
post-detox,10_14,f,active_noninj,11
post-detox,10_14,f,active_inj,11.1
post-detox,10_14,f,nonactive_noninj,11.2
post-detox,10_14,f,nonactive_inj,11.3
post-detox,15_19,m,active_noninj,11.4
post-detox,15_19,m,active_inj,11.5
post-detox,15_19,m,nonactive_noninj,11.6
post-detox,15_19,m,nonactive_inj,11.7
post-detox,15_19,f,active_noninj,11.8
post-detox,15_19,f,active_inj,11.9
post-detox,15_19,f,nonactive_noninj,12
post-detox,15_19,f,nonactive_inj,12.1
post-detox,20_24,m,active_noninj,12.2
post-detox,20_24,m,active_inj,12.3
post-detox,20_24,m,nonactive_noninj,12.4
post-detox,20_24,m,nonactive_inj,12.5
post-detox,20_24,f,active_noninj,12.6
post-detox,20_24,f,active_inj,12.7
post-detox,20_24,f,nonactive_noninj,12.8
post-detox,20_24,f,nonactive_inj,12.9
post-detox,25_29,m,active_noninj,13
post-detox,25_29,m,active_inj,13.1
post-detox,25_29,m,nonactive_noninj,13.2
post-detox,25_29,m,nonactive_inj,13.3
post-detox,25_29,f,active_noninj,13.4
post-detox,25_29,f,active_inj,13.5
post-detox,25_29,f,nonactive_noninj,13.6
post-detox,25_29,f,nonactive_inj,13.7
post-res,10_14,m,active_noninj,13.8
post-res,10_14,m,active_inj,13.9
post-res,10_14,m,nonactive_noninj,14
post-res,10_14,m,nonactive_inj,14.1
post-res,10_14,f,active_noninj,14.2
post-res,10_14,f,active_inj,14.3
post-res,10_14,f,nonactive_noninj,14.4
post-res,10_14,f,nonactive_inj,14.5
post-res,15_19,m,active_noninj,14.6
post-res,15_19,m,active_inj,14.7
post-res,15_19,m,nonactive_noninj,14.8
post-res,15_19,m,nonactive_inj,14.9
post-res,15_19,f,active_noninj,15
post-res,15_19,f,active_inj,15.1
post-res,15_19,f,nonactive_noninj,15.2
post-res,15_19,f,nonactive_inj,15.3
post-res,20_24,m,active_noninj,15.4
post-res,20_24,m,active_inj,15.5
post-res,20_24,m,nonactive_noninj,15.6
post-res,20_24,m,nonactive_inj,15.7
post-res,20_24,f,active_noninj,15.8
post-res,20_24,f,active_inj,15.9
post-res,20_24,f,nonactive_noninj,16
post-res,20_24,f,nonactive_inj,16.1
post-res,25_29,m,active_noninj,16.2
post-res,25_29,m,active_inj,16.3
post-res,25_29,m,nonactive_noninj,16.4
post-res,25_29,m,nonactive_inj,16.5
post-res,25_29,f,active_noninj,16.6
post-res,25_29,f,active_inj,16.7
post-res,25_29,f,nonactive_noninj,16.8
post-res,25_29,f,nonactive_inj,16.9
