block,agegrp,sex,oud,counts
no_trt,10_14,m,active_noninj,1000
no_trt,10_14,m,nonactive_noninj,2000
no_trt,10_14,f,active_noninj,3000
no_trt,10_14,f,nonactive_noninj,4000
no_trt,15_19,m,active_noninj,5000
no_trt,15_19,m,nonactive_noninj,6000
no_trt,15_19,f,active_noninj,7000
no_trt,15_19,f,nonactive_noninj,8000
detox,10_14,m,active_noninj,9000
detox,10_14,m,nonactive_noninj,10000
detox,10_14,f,active_noninj,11000
detox,10_14,f,nonactive_noninj,12000
detox,15_19,m,active_noninj,13000
detox,15_19,m,nonactive_noninj,14000
detox,15_19,f,active_noninj,15000
detox,15_19,f,nonactive_noninj,16000
ntx,10_14,m,active_noninj,17000
ntx,10_14,m,nonactive_noninj,18000
ntx,10_14,f,active_noninj,19000
ntx,10_14,f,nonactive_noninj,20000
ntx,15_19,m,active_noninj,21000
ntx,15_19,m,nonactive_noninj,22000
ntx,15_19,f,active_noninj,23000
ntx,15_19,f,nonactive_noninj,24000
